collection.id,sample.ID,old.sample.ID,photo.ID.no,skeletal.sample,pub.author,pub.year,collection.period.from,collection.period.to,collection.date,extract.date,extract.method,collected.by,host.group,host.order,host.family,host.genus,host.species,host.ID.date,host.ID.by,host.ID.method,host.ID.changed.from.publication,host.ID.changed.from,host.morphotype,corallite size (mm),colony.sex,ocean,country,region,subregion,area,location,site,shelf.position,latitude,longitude,reef.type,avg.depth,depth.min,depth.max,sym.genus.1,sym.genus.2,sym.genus.3,sym.type.1,sym.type.2,sym.type.3,sym.type.ID.year,sym.type.author,sym.type.changed.from,comment.field.coral.ID,comment.symbiont.profile,comment.sample.processing,,
AU18,AU18_0001,,Split01,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Paragoniastrea,Paragoniastrea_australensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,blue-grey,,,,
AU18,AU18_0002,,Split02,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Paragoniastrea,Paragoniastrea_australensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,blue-grey,,,,
AU18,AU18_0003,,Split03,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Paragoniastrea,Paragoniastrea_australensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,blue-grey,,,,
AU18,AU18_0004,,Split04,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea_serailia,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,brown,,,,
AU18,AU18_0005,,Split05,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea_serailia,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,brown,,,,
AU18,AU18_0006,,Split06,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea_serailia,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,brown,,,,
AU18,AU18_0007,,Split07,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea_serailia,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,green,,,,
AU18,AU18_0008,,Split08,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea_serailia,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,green,,,,
AU18,AU18_0009,,Split09,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea_serailia,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,green,,,,
AU18,AU18_0010,,Split10,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea_serailia,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,green,,,,
AU18,AU18_0011,,Split11,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Platygyra,Platygyra_daedalea,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,purple,,,,
AU18,AU18_0012,,Split12,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Platygyra,Platygyra_daedalea,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,purple,,,,
AU18,AU18_0013,,Split13,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Massive,sp1,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,green-brown,,,,
AU18,AU18_0014,,Split14,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Massive,sp1,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,green-brown,,,,
AU18,AU18_0015,,Split15,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Platygyra,Platygyra_daedalea,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,purple,,,,
AU18,AU18_0016,,Split16,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Mussidae,Acanthastrea,Acanthastrea_echinata,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,bluey-green happy valley,,,,
